鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區南興二路151~180號,118.04,住,,,1061211,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,376.39,4,3,5,有,有,33580000,89216,,0.0,0,地下室為停車位空間。,RPROMLNLJHPFFBB77CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,100.09,住,,,1070309,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,300.19,4,3,5,有,有,27000000,89943,,0.0,0,地下室為停車位空間。,RPTOMLNLJHPFFBB97CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,100.09,住,,,1081118,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,300.19,4,3,5,有,有,27905665,92960,,0.0,0,地下室為停車位空間,RPUOMLNLJHPFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,126.16,住,,,1071004,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,308.47,4,3,5,有,有,31000000,100496,,0.0,0,地下室為停車位空間。,RPVOMLNLJHPFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,100.16,住,,,1070501,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,302.41,4,3,5,有,有,27080000,89547,,0.0,0,地下室為停車位空間。,RPWOMLNLJHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,101.44,住,,,1070703,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,307.29,4,3,5,有,有,27880000,90729,,0.0,0,地下室為停車位空間。,RPXOMLNLJHPFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,101.76,住,,,1070621,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,308.5,4,3,5,有,有,27580000,89400,,0.0,0,地下室為停車位空間。,RPOPMLNLJHPFFBB57CA
北屯區,房地(土地+建物),臺中市北屯區南興二路181~210號,126.79,住,,,1070203,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,316.24,4,3,5,有,有,30880000,97647,,0.0,0,地下室為停車位空間。,RPPPMLNLJHPFFBB67CA
北屯區,房地(土地+建物),臺中市北屯區南興二路211~240號,150.58,住,,,1071002,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,403.16,4,3,5,有,有,38500000,95496,,0.0,0,地下室為停車位空間。本案權利人登記2人。,RPXNMLNLJHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區南興二路151~180號,101.73,住,,,1070627,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081002,305.37,4,3,5,有,有,28000000,91692,,0.0,0,地下室為停車位空間。,RPPOMLNLJHPFFBB57CA
北區,房地(土地+建物),臺中市北區北平路二段91~120號,86.0,住,,,1081216,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0751222,260.23,7,2,3,有,無,24500000,94147,,0.0,0,含增建或未登記建物。;,RPPNMLQJKHPFFBB67CA
北區,房地(土地+建物),臺中市北區德化街1~30號,26.69,住,,,1081204,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710916,96.91,4,0,4,有,無,5600000,57786,,0.0,0,4間套房,RPURMLKKKHPFFBB08CA
北區,建物,臺中市北區衛道路211~240號,0.0,,,,1081220,土地0建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741211,83.74,2,2,2,有,無,2000000,23883,,0.0,0,本案件無土地交易,RPRNMLLKKHPFFBB47CA
南屯區,土地,永定段271~300地號,51.03,其他,,,1081226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,84264,,0.0,0,包含公共設施保留地之交易。;簽約人與登記人不同,RPQOMLOKJHPFFCB77CA
南屯區,土地,寶山段1051~1080地號,12.0,農,,,1081216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,841800,70150,,0.0,0,,RPPPMLOKJHPFFCB77CA
西屯區,土地,鑫大鵬段91~120地號,220.84,住,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38740000,175421,,0.0,0,,RPVPMLOKJHPFFCB38CA
西屯區,房地(土地+建物),臺中市西屯區至善路121巷1~30號,3.29,商,,,1090103,土地1建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821014,24.689999999999998,0,0,0,無,有,1470000,59538,,0.0,0,,RPOQMLOKJHPFFCB77CA
西屯區,房地(土地+建物)+車位,臺中市西屯區上安路31~60號,15.95,住,,,1081226,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840218,119.4,3,2,2,有,有,6800000,56951,坡道機械,0.0,0,,RPRNMLPKJHPFFCB87CA
南屯區,房地(土地+建物),臺中市南屯區文心路一段511~540號,83.0,住,,,1081215,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0761110,305.06,4,2,4,有,無,29000000,95063,,0.0,0,,RPPOMLPKJHPFFCB77CA
西屯區,土地,信安段421~450地號,12.33,其他,,,1081127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,129765,,0.0,0,包含公共設施保留地之交易。;,RPWPMLPKJHPFFCB58CA
