鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
林園區,房地(土地+建物),高雄市林園區頂厝路130巷1~30號,11.58,商,,,1090107,土地1建物2車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831128,126.05000000000001,3,2,2,有,有,1600000,12693,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLQKJHPFFLE56CA
三民區,房地(土地+建物),高雄市三民區民族一路691~720號,9.73,住,,,1081207,土地1建物1車位0,十九層，電梯樓梯間,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840906,115.55,3,2,2,有,有,4730000,40935,,0.0,0,,RPPNMLKKJHPFFDE87CD
左營區,房地(土地+建物)+車位,高雄市左營區榮總路183巷1~30號,10.42,住,,,1081226,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950629,113.56,2,2,2,有,有,5600000,49313,坡道平面,27.13,0,,RPPNMLNKJHPFFEE28CD
楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠泰街1~30號,22.38,商,,,1081203,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821115,154.34,3,2,2,有,有,4800000,31100,坡道平面,0.0,0,,RPPOMLPLKHPFFEE48CA
左營區,房地(土地+建物),高雄市左營區榮總路181~210號,7.58,住,,,1081225,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950629,88.44,2,2,1,有,無,4450000,50317,,0.0,0,,RPRNMLLKKHPFFEE08CA
左營區,房地(土地+建物)+車位,高雄市左營區重和路31~60號,14.96,住,,,1081219,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951124,130.18,3,2,2,有,有,7650000,58765,坡道機械,16.87,0,,RPVOMLLKKHPFFEE58CA
左營區,房地(土地+建物)+車位,高雄市左營區大順一路211~240號,12.83,住,,,1090110,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850710,147.04999999999998,3,2,2,有,有,9000000,61204,坡道平面,0.0,0,,RPUNMLMLJHPFFEE48CA
左營區,房地(土地+建物),高雄市左營區重文街1~30號,10.09,住,,,1090105,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871021,115.86,3,2,2,有,有,4160000,35905,,0.0,0,,RPVPMLQKJHPFFEE09CA
左營區,房地(土地+建物)+車位,高雄市左營區孟子路189巷61~90號,32.68,住,,,1081202,土地1建物1車位1,一層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0920724,214.32999999999998,4,2,3,有,無,18700000,87249,坡道平面,22.33,0,,RPTPMLRKJHPFFEE98CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路1201~1230號,24.57,住,,,1081218,土地3建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011122,152.98,3,2,2,有,有,7650000,50007,坡道平面,24.97,0,,RPVOMLRKJHPFFEE09CA
三民區,房地(土地+建物),高雄市三民區鼎新路181~210號,10.54,商,,,1081207,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840128,118.91,3,2,2,有,有,4500000,37844,,0.0,0,,RPWOMLLLJHPFFDE58CA
三民區,房地(土地+建物),高雄市三民區寶民里水源路217巷1~30號,9.78,住,,,1081231,土地2建物1車位0,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605,87.27,2,2,2,有,有,4500000,51564,,0.0,0,,RPSNMLMLJHPFFDE18CA
三民區,房地(土地+建物)+車位,高雄市三民區自立一路85巷1~30號,27.1,商,,,1081128,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,187.15,4,2,2,有,有,9500000,50761,坡道平面,0.0,0,,RPOQMLKLJHPFFDE87CA
三民區,房地(土地+建物)+車位,高雄市三民區天祥二路31~60號,17.21,住,,,1081223,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,169.76,3,2,2,有,有,9500000,55961,坡道平面,23.23,0,,RPRNMLKLJHPFFDE87CA
三民區,房地(土地+建物)+車位,高雄市三民區明賢街91~120號,22.1,商,,,1081222,土地1建物1車位1,三層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841115,259.55,4,2,2,有,有,10500000,40455,坡道平面,0.0,0,含增建或未登記建物。;,RPRQMLKLJHPFFDE18CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區管仲南路331~360號,14.15,商,,,1081216,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0960126,158.89,3,2,2,有,有,10450000,65769,坡道平面,19.44,0,,RPQPMLKLJHPFFCE87CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區民權一路26巷1~30號,17.01,住,,,1081125,土地3建物1車位1,七層，電梯樓梯間,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840127,302.84999999999997,5,2,2,有,有,14800000,48869,坡道平面,0.0,0,,RPUNMLKMJHPFFBE08CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區四維三路241~270號,21.68,商,,,1081216,土地1建物1車位2,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890905,404.40999999999997,3,1,3,有,有,26910000,66541,其他,0.0,0,,RPROMLKMJHPFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區信守街91~120號,8.76,商,,,1081218,土地3建物1車位0,二十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0890628,179.57999999999998,4,2,2,有,有,10600000,59027,,0.0,0,,RPOQMLRKJHPFFBE28CA
