鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,房地(土地+建物),臺北市松山區民生東路四段55巷1~30號,28.53,其他,,,1081217,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661220,147.04000000000002,4,2,2,有,有,33000000,224429,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSOMLQKJHPFFDA18CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路四段451~480號,90.44,商,,,1081226,土地1建物4車位4,四層,二十七層,辦公商業大樓,商業用,見使用執照,0861230,1200.35,0,0,0,無,有,330952538,275713,坡道平面,114.44,0,,RPXNMLRKJHPFFDA68CA
松山區,房地(土地+建物),臺北市松山區八德路四段17巷1~30號,19.37,住,,,1081207,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780410,144.1,4,2,2,有,有,32500000,225538,,0.0,0,含增建或未登記建物。;,RPQPMLRKJHPFFDA18CA
松山區,車位,臺北市松山區八德路二段331~360號,0.13,商,,,1081209,土地0建物0車位2,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0750819,78.78,0,0,0,有,無,4400000,,升降平面,78.78,4400000,,RPPOMLKLJHPFFDA37CA
松山區,房地(土地+建物),臺北市松山區基隆路一段1~30號,10.28,商,,,1080818,土地2建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.57,3,2,2,有,有,11800000,111774,,0.0,0,親友、員工或其他特殊關係間之交易。;本案親屬間買賣,RPVOMLKLJHPFFDA97CA
信義區,房地(土地+建物),臺北市信義區松隆路61~90號,25.98,商,,,1081129,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700124,87.84,3,2,3,有,無,11000000,125228,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPORMLKLJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區松德路31~60號,11.98,住,,,1080926,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.96,3,2,2,有,無,8342381,95934,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLLLJHPFFDA18CA
信義區,房地(土地+建物),臺北市信義區信義路六段15巷1~30號,13.92,住,,,1081115,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630726,30.45,3,2,2,有,無,4400000,144499,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPXNMLMLJHPFFDA28CA
松山區,房地(土地+建物)+車位,臺北市松山區延壽街330巷8弄1~30號,7.73,住,,,1081029,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980320,28.21,3,2,2,有,有,6225000,220666,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPQMLKMJHPFFDA67CA
信義區,房地(土地+建物),臺北市信義區吳興街220巷73弄1~30號,23.81,住,,,1081120,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790424,60.95,3,2,2,有,無,8000000,131255,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLNJKHPFFDA97CA
